"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"2","1.581305000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"3","1.581889000","","","IEEE 802.15.4","21","Ack"
"4","1.603742000","fe80::1ac0:ffee:c0ff:ee01","fe80::f2e2:4e7e:8874:3016","ICMPv6","69","RPL Control (Destination Advertisement Object Acknowledgment)"
"5","5.004888000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"6","5.584923000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"7","5.585513000","","","IEEE 802.15.4","21","Ack"
"8","5.607412000","fe80::1ac0:ffee:c0ff:ee01","fe80::f2e2:4e7e:8874:3016","ICMPv6","69","RPL Control (Destination Advertisement Object Acknowledgment)"
"9","9.004098000","f0:e2:4e:7e:88:74:30:16","18:c0:ff:ee:c0:ff:ee:01","IEEE 802.15.4","140","Data, Dst: 18:c0:ff:ee:c0:ffee:01, Src: f0:e2:4e:7e:88:7430:16, Bad FCS"
"10","9.004680000","","","IEEE 802.15.4","21","Ack"
"11","9.006322000","f0:e2:4e:7e:88:74:30:16","18:c0:ff:ee:c0:ff:ee:01","6LoWPAN","51","Data, Dst: 18:c0:ff:ee:c0:ffee:01, Src: f0:e2:4e:7e:88:7430:16"
"12","9.006910000","","","IEEE 802.15.4","21","Ack"
"13","9.012918000","18:c0:ff:ee:c0:ff:ee:01","f0:e2:4e:7e:88:74:30:16","6LoWPAN","137","Data, Dst: f0:e2:4e:7e:88:7430:16, Src: 18:c0:ff:ee:c0:ffee:01"
"14","9.018542000","fd16:abcd:ef01:3::1","fd16:abcd:ef01:3:f2e2:4e7e:8874:3016","ICMPv6","107","Destination Unreachable (Port unreachable)"
"15","10.007347000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"16","11.588076000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"17","11.588665000","","","IEEE 802.15.4","21","Ack"
"18","11.612299000","fe80::1ac0:ffee:c0ff:ee01","fe80::f2e2:4e7e:8874:3016","ICMPv6","69","RPL Control (Destination Advertisement Object Acknowledgment)"
"19","15.012177000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"20","16.621069000","fe80::1ac0:ffee:c0ff:ee01","fe80::f2e2:4e7e:8874:3016","ICMPv6","82","Neighbor Solicitation for fe80::f2e2:4e7e:8874:3016 from 18:c0:ff:ee:c0:ff:ee:01"
"21","16.624388000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","66","Neighbor Advertisement fe80::f2e2:4e7e:8874:3016 (rtr, sol)"
"22","16.624994000","","","IEEE 802.15.4","21","Ack"
"23","19.592567000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"24","20.018047000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"25","21.595909000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"26","21.596495000","","","IEEE 802.15.4","21","Ack"
"27","21.618063000","fe80::1ac0:ffee:c0ff:ee01","fe80::f2e2:4e7e:8874:3016","ICMPv6","69","RPL Control (Destination Advertisement Object Acknowledgment)"
